count,two_step_cost
886,0.50049394
887,0.5005039
888,0.5005141
889,0.50052446
890,0.5005351
891,0.50054586
892,0.5005569
893,0.50056815
894,0.5005796
895,0.50059134
896,0.50060326
897,0.5006155
898,0.5006279
899,0.5006406
900,0.5006535
901,0.50066674
902,0.5006802
903,0.5006939
904,0.5007079
905,0.5007222
906,0.50073683
907,0.50075173
908,0.50076693
909,0.5007824
910,0.5007982
911,0.5008143
912,0.50083077
913,0.5008476
914,0.5008647
915,0.50088215
916,0.5009
917,0.50091815
918,0.5009367
919,0.50095564
920,0.50097495
921,0.5009946
922,0.5010147
923,0.5010352
924,0.50105613
925,0.5010775
926,0.5010992
927,0.50112146
928,0.5011441
929,0.5011672
930,0.5011908
931,0.50121486
932,0.50123936
933,0.5012644
934,0.50128996
935,0.501316
936,0.5013426
937,0.5013697
938,0.5013974
939,0.5014256
940,0.5014544
941,0.5014838
942,0.5015138
943,0.50154436
944,0.5015755
945,0.50160736
946,0.50163984
947,0.501673
948,0.5017068
949,0.50174123
950,0.50177646
951,0.50181234
952,0.50184894
953,0.5018863
954,0.5019244
955,0.50196326
956,0.5020029
957,0.50204337
958,0.5020847
959,0.50212675
960,0.5021697
961,0.5022136
962,0.5022583
963,0.5023039
964,0.50235045
965,0.50239795
966,0.50244635
967,0.5024958
968,0.5025462
969,0.50259763
970,0.50265014
971,0.50270367
972,0.50275826
973,0.502814
974,0.50287086
975,0.50292885
976,0.50298804
977,0.50304836
978,0.50310993
979,0.50317276
980,0.5032369
981,0.5033023
982,0.503369
983,0.50343704
984,0.5035065
985,0.5035773
986,0.5036496
987,0.50372326
988,0.5037985
989,0.50387526
990,0.5039535
991,0.5040334
992,0.50411487
993,0.504198
994,0.50428283
995,0.5043693
996,0.5044576
997,0.50454766
998,0.5046395
999,0.5047332
1000,0.5048289
1001,0.5049264
1002,0.5050259
1003,0.50512743
1004,0.505231
1005,0.5053367
1006,0.5054445
1007,0.5055545
1008,0.50566673
1009,0.5057812
1010,0.505898
1011,0.5060171
1012,0.5061387
1013,0.50626266
1014,0.5063892
1015,0.50651824
1016,0.50665
1017,0.50678426
1018,0.50692135
1019,0.5070611
1020,0.5072038
1021,0.5073493
1022,0.5074978
1023,0.50764924
1024,0.5078038
1025,0.50796145
1026,0.50812227
1027,0.50828636
1028,0.5084537
1029,0.5086245
1030,0.5087987
1031,0.50897646
1032,0.50915784
1033,0.5093428
1034,0.50953156
1035,0.5097241
1036,0.50992054
1037,0.5101209
1038,0.51032543
1039,0.510534
1040,0.5107468
1041,0.5109639
1042,0.5111854
1043,0.51141137
1044,0.51164186
1045,0.51187706
1046,0.51211697
1047,0.51236176
1048,0.5126115
1049,0.51286626
1050,0.5131262
1051,0.5133913
1052,0.51366186
1053,0.51393783
1054,0.5142194
1055,0.51450664
1056,0.5147997
1057,0.5150987
1058,0.5154037
1059,0.5157149
1060,0.51603234
1061,0.5163562
1062,0.5166866
1063,0.51702374
1064,0.5173676
1065,0.5177185
1066,0.5180764
1067,0.51844156
1068,0.51881415
1069,0.5191942
1070,0.519582
1071,0.5199775
1072,0.5203811
1073,0.52079284
1074,0.5212129
1075,0.5216414
1076,0.5220786
1077,0.5225246
1078,0.5229796
1079,0.5234439
1080,0.52391744
1081,0.5244006
1082,0.5248935
1083,0.5253964
1084,0.5259095
1085,0.5264329
1086,0.52696687
1087,0.5275116
1088,0.5280674
1089,0.52863437
1090,0.52921283
1091,0.529803
1092,0.53040504
1093,0.5310193
1094,0.5316459
1095,0.53228515
1096,0.5329374
1097,0.5336028
1098,0.5342816
1099,0.5349741
1100,0.53568065
1101,0.53640145
1102,0.5371368
1103,0.537887
1104,0.53865236
1105,0.5394332
1106,0.5402298
1107,0.5410425
1108,0.5418716
1109,0.54271746
1110,0.5435804
1111,0.54446083
1112,0.54535896
1113,0.5462753
1114,0.5472101
1115,0.54816383
1116,0.5491368
1117,0.5501294
1118,0.5511421
1119,0.5521752
1120,0.5532293
1121,0.55430454
1122,0.55540156
1123,0.55652076
1124,0.55766255
1125,0.5588274
1126,0.5600158
1127,0.5612282
1128,0.56246513
1129,0.563727
1130,0.56501436
1131,0.56632775
1132,0.56766766
1133,0.56903464
1134,0.5704292
1135,0.57185197
1136,0.57330346
1137,0.5747843
1138,0.5762951
1139,0.57783633
1140,0.5794087
1141,0.5810129
1142,0.58264947
1143,0.58431906
1144,0.58602244
1145,0.5877602
1146,0.5895331
1147,0.5913418
1148,0.593187
1149,0.59506947
1150,0.59699
1151,0.5989494
1152,0.6009483
1153,0.6029875
1154,0.605068
1155,0.60719055
1156,0.6093559
1157,0.6115651
1158,0.6138188
1159,0.61611813
1160,0.6184639
1161,0.620857
1162,0.62329847
1163,0.6257893
1164,0.62833035
1165,0.63092285
1166,0.6335677
1167,0.6362659
1168,0.63901865
1169,0.641827
1170,0.6446921
1171,0.6476151
1172,0.6505971
1173,0.6536394
1174,0.6567431
1175,0.6599095
1176,0.6631399
1177,0.66643554
1178,0.6697978
1179,0.6732279
1180,0.67672735
1181,0.6802975
1182,0.6839397
1183,0.68765557
1184,0.6914464
1185,0.69531393
1186,0.6992595
1187,0.70328486
1188,0.70739144
1189,0.71158105
1190,0.71585524
1191,0.7202158
1192,0.7246645
1193,0.729203
1194,0.7338332
1195,0.738557
1196,0.74337614
1197,0.7482927
1198,0.75330853
1199,0.7584257
1200,0.76364625
1201,0.7689722
1202,0.77440584
1203,0.7799492
1204,0.78560454
1205,0.79137415
1206,0.7972603
1207,0.80326533
1208,0.80939174
1209,0.8156418
1210,0.8220182
1211,0.8285234
1212,0.83516
1213,0.84193075
1214,0.8488382
1215,0.85588515
1216,0.86307454
1217,0.87040913
1218,0.8778919
1219,0.8855258
1220,0.89331394
1221,0.9012594
1222,0.9093654
1223,0.9176351
1224,0.9260719
1225,0.93467915
1226,0.9434602
1227,0.9524187
1228,0.96155816
1229,0.9708823
1230,0.9803947
1231,0.9900993
1232,1
